Kabupaten,Tahun,Bulan,Jumlah_Hotspot,Z_Score,Anomali
 BATU,2023,8,1,-0.6660639555958284,False
 BATU,2023,9,137,1.6447701760631679,False
 BATU,2023,10,56,0.2684645535309716,False
 BATU,2023,11,5,-0.598098245841152,False
 BATU,2024,8,2,-0.6490725281571593,False
 KEDIRI,2022,2,3,-0.3953165504283597,False
 KEDIRI,2022,3,3,-0.3953165504283597,False
 KEDIRI,2022,4,1,-0.8060350443799024,False
 KEDIRI,2022,6,1,-0.8060350443799024,False
 KEDIRI,2022,8,1,-0.8060350443799024,False
 KEDIRI,2022,9,3,-0.3953165504283597,False
 KEDIRI,2022,10,2,-0.600675797404131,False
 KEDIRI,2022,11,1,-0.8060350443799024,False
 KEDIRI,2022,12,3,-0.3953165504283597,False
 KEDIRI,2023,1,4,-0.18995730345258843,False
 KEDIRI,2023,2,1,-0.8060350443799024,False
 KEDIRI,2023,3,5,0.015401943523182885,False
 KEDIRI,2023,4,2,-0.600675797404131,False
 KEDIRI,2023,5,4,-0.18995730345258843,False
 KEDIRI,2023,6,5,0.015401943523182885,False
 KEDIRI,2023,7,6,0.2207611904989542,False
 KEDIRI,2023,8,12,1.452916672353582,False
 KEDIRI,2023,9,17,2.4797129072324386,False
 KEDIRI,2023,10,7,0.4261204374747255,False
 KEDIRI,2023,11,3,-0.3953165504283597,False
 KEDIRI,2023,12,3,-0.3953165504283597,False
 KEDIRI,2024,1,5,0.015401943523182885,False
 KEDIRI,2024,2,3,-0.3953165504283597,False
 KEDIRI,2024,3,2,-0.600675797404131,False
 KEDIRI,2024,4,2,-0.600675797404131,False
 KEDIRI,2024,5,2,-0.600675797404131,False
 KEDIRI,2024,6,2,-0.600675797404131,False
 KEDIRI,2024,7,13,1.6582759193293533,False
 KEDIRI,2024,8,23,3.7118683890870665,True
 KEDIRI,2024,9,15,2.0689944132808957,False
 KEDIRI,2024,10,7,0.4261204374747255,False
 KEDIRI,2024,12,1,-0.8060350443799024,False
 KEDIRI,2025,4,4,-0.18995730345258843,False
 KEDIRI,2025,5,1,-0.8060350443799024,False
 KEDIRI,2025,6,3,-0.3953165504283597,False
 KEDIRI,2025,7,3,-0.3953165504283597,False
 KEDIRI,2025,8,7,0.4261204374747255,False
 KEDIRI,2025,9,9,0.8368389314262682,False
 KEDIRI,2025,10,6,0.2207611904989542,False
 KEDIRI,2025,12,2,-0.600675797404131,False
 MADIUN,2022,8,1,-0.6210590034081189,False
 MADIUN,2023,8,1,-0.6210590034081189,False
 MADIUN,2023,9,2,1.449137674618944,False
 MADIUN,2023,12,1,-0.6210590034081189,False
 MADIUN,2024,1,2,1.449137674618944,False
 MADIUN,2024,7,2,1.449137674618944,False
 MADIUN,2024,9,1,-0.6210590034081189,False
 MADIUN,2024,10,1,-0.6210590034081189,False
 MADIUN,2025,2,1,-0.6210590034081189,False
 MADIUN,2025,8,1,-0.6210590034081189,False
 MALANG,2022,5,1,-0.7647191129018726,False
 MALANG,2022,7,2,0.611775290321498,False
 MALANG,2023,5,1,-0.7647191129018726,False
 MALANG,2023,7,1,-0.7647191129018726,False
 MALANG,2023,9,2,0.611775290321498,False
 MALANG,2023,10,3,1.9882696935448687,False
 MALANG,2024,5,1,-0.7647191129018726,False
 MALANG,2024,8,2,0.611775290321498,False
 MALANG,2025,4,1,-0.7647191129018726,False
 MOJOKERTO,2022,8,1,-0.4578685464956301,False
 MOJOKERTO,2023,1,1,-0.4578685464956301,False
 MOJOKERTO,2023,8,4,0.36629483719650413,False
 MOJOKERTO,2023,9,12,2.5640638603755286,False
 MOJOKERTO,2023,10,2,-0.183147418598252,False
 MOJOKERTO,2023,11,1,-0.4578685464956301,False
 MOJOKERTO,2024,8,1,-0.4578685464956301,False
 MOJOKERTO,2025,8,1,-0.4578685464956301,False
 MOJOKERTO,2025,9,1,-0.4578685464956301,False
 PASURUAN,2022,7,1,-0.5760078153270579,False
 PASURUAN,2023,7,1,-0.5760078153270579,False
 PASURUAN,2024,7,1,-0.5760078153270579,False
 PASURUAN,2024,8,5,1.9584265721119969,False
 PASURUAN,2024,9,5,1.9584265721119969,False
 PASURUAN,2024,10,2,0.05760078153270574,False
 PASURUAN,2024,11,1,-0.5760078153270579,False
 PASURUAN,2025,8,1,-0.5760078153270579,False
 PASURUAN,2025,9,2,0.05760078153270574,False
 PASURUAN,2025,10,1,-0.5760078153270579,False
 PASURUAN,2025,11,1,-0.5760078153270579,False
 PROBOLINGGO,2023,8,3,1.7928429140015905,False
 PROBOLINGGO,2023,9,1,-0.5976143046671968,False
 PROBOLINGGO,2024,8,1,-0.5976143046671968,False
 PROBOLINGGO,2024,10,1,-0.5976143046671968,False
 PROBOLINGGO,2025,7,1,-0.5976143046671968,False
 PROBOLINGGO,2025,9,2,0.5976143046671968,False
 SURABAYA,2021,2,2,-0.8154802143007089,False
 SURABAYA,2022,2,5,-0.2607640220147616,False
 SURABAYA,2022,3,2,-0.8154802143007089,False
 SURABAYA,2022,4,4,-0.4456694194434107,False
 SURABAYA,2022,5,2,-0.8154802143007089,False
 SURABAYA,2022,6,1,-1.0003856117293581,False
 SURABAYA,2022,8,8,0.2939521702711857,False
 SURABAYA,2022,9,2,-0.8154802143007089,False
 SURABAYA,2022,10,1,-1.0003856117293581,False
 SURABAYA,2022,12,1,-1.0003856117293581,False
 SURABAYA,2023,1,3,-0.6305748168720599,False
 SURABAYA,2023,3,7,0.1090467728425366,False
 SURABAYA,2023,4,3,-0.6305748168720599,False
 SURABAYA,2023,5,4,-0.4456694194434107,False
 SURABAYA,2023,6,5,-0.2607640220147616,False
