Kabupaten,Jumlah_Hotspot,Rata_Confidence,Latitude,Longitude,Total_Luas_Ha,Jumlah_Kejadian,Rata_Luas_Ha
 BATU,201,2.029850746268657,-7.760828059701493,112.56565452736318,0.0,0.0,0.0
 KEDIRI,197,1.7563451776649746,-7.811082385786802,112.01513370558375,0.0,0.0,0.0
 MADIUN,13,1.7692307692307692,-7.635756153846154,111.52034,0.0,0.0,0.0
 MALANG,14,1.7857142857142858,-7.988069285714286,112.63366357142857,0.0,0.0,0.0
 MOJOKERTO,24,1.9583333333333333,-7.467230833333333,112.44791249999999,0.0,0.0,0.0
 PASURUAN,21,1.9523809523809523,-7.659688095238096,112.9027238095238,0.0,0.0,0.0
 PROBOLINGGO,9,2.0,-7.758908888888889,113.21531555555556,0.0,0.0,0.0
 SURABAYA,250,1.9,-7.266057399999999,112.68872216000001,0.0,0.0,0.0
BANGKALAN,454,1.8105726872246697,-7.086733215859031,112.9138295814978,34.5,15.0,2.3
BANYUWANGI,1967,1.920183019827148,-8.215601809862735,114.2144788205389,14.0,3.0,4.666666666666667
BLITAR,599,1.8814691151919867,-8.208066243739566,112.20035123539232,5.1,8.0,0.6375
BOJONEGORO,3677,1.8781615447375577,-7.269142488441664,111.73549595322274,76.95,36.0,2.1375
BONDOWOSO,2278,1.9433713784021072,-7.982872067603161,114.03095324846356,185.5,49.0,3.7857142857142856
GRESIK,1000,1.82,-7.1856557599999995,112.56272405,0.0,0.0,0.0
JEMBER,1125,1.9262222222222223,-8.270787457777777,113.62618178666666,0.0,0.0,0.0
JOMBANG,1149,1.9373368146214098,-7.544667345517842,112.28917578764143,83.95,15.0,5.596666666666667
KEDIRI,1100,1.93,-7.812837827272728,112.10528777272728,34.1,11.0,3.1
LAMONGAN,1271,1.7962234461054287,-7.131375452399685,112.29315336742721,0.0,0.0,0.0
LUMAJANG,4755,1.9972660357518401,-8.122255276550998,112.99462798107257,0.0,0.0,0.0
MADIUN,1395,1.7842293906810036,-7.596130931899642,111.69481729032258,198.98000000000002,71.0,2.802535211267606
MAGETAN,590,1.9627118644067796,-7.651608661016948,111.3104586440678,0.0,0.0,0.0
MALANG,4996,2.0302241793434748,-8.104664559647718,112.86188317654123,42.0,4.0,10.5
MOJOKERTO,1629,1.92694904849601,-7.549554757519951,112.47670366482505,11.6,5.0,2.32
NGANJUK,1916,1.850730688935282,-7.582074979123174,111.91561146659707,19.5,11.0,1.7727272727272727
NGAWI,1475,1.8861016949152543,-7.41486486101695,111.29169334237288,115.72,44.0,2.63
PACITAN,130,1.9538461538461538,-8.112612692307692,111.13134169230769,0.0,0.0,0.0
PAMEKASAN,116,1.8103448275862069,-7.021279396551724,113.51663379310345,0.0,0.0,0.0
PASURUAN,1630,1.9325153374233128,-7.76065782208589,112.78243271779141,28.5,4.0,7.125
PONOROGO,1062,1.8408662900188324,-7.908211167608286,111.44223672316384,0.0,0.0,0.0
PROBOLINGGO,1655,1.980060422960725,-7.906766235649546,113.30711591540786,52.67,9.0,5.852222222222222
SAMPANG,159,1.830188679245283,-7.0856396226415095,113.24885716981132,0.0,0.0,0.0
SIDOARJO,919,1.897714907508161,-7.454679162132753,112.63832891186073,0.0,0.0,0.0
SITUBONDO,5501,1.8825668060352663,-7.793639165606254,114.15108932012362,0.0,0.0,0.0
SUMENEP,862,1.7993039443155452,-7.06956969837587,114.83532738979117,0.0,0.0,0.0
TRENGGALEK,57,1.9473684210526316,-8.078117192982456,111.69436508771929,0.0,0.0,0.0
TUBAN,1871,1.8781400320684125,-6.877706210582576,111.90739424906468,103.4,42.0,2.461904761904762
TULUNGAGUNG,242,1.8884297520661157,-8.098536446280992,111.89597574380166,0.0,0.0,0.0
